time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode
428035	-60	128	-106	-0.05059237	-0.2537132	-0.003180504	0	10.94	4002	7	-4	-2	0	0.7978177	0.08618383	3
428079	94	-84	139	0.00229062	-0.07312025	-0.008512182	0	10.94	4004	7	22	-4	0	0.7978177	0.08644149	3
428198	4	-15	-70	0.003100028	-0.06172875	-0.005267865	0	10.94	4004	-32	-11	0	0	0.7978177	0.08724085	3
428328	-124	-61	15	0.1408562	-0.3059145	-0.01223804	0	10.94	4003	-2	5	-1	0	0.7978177	0.08214582	3
428417	-97	-170	203	0.0876287	-0.2163282	-0.009556943	0	10.94	4004	40	28	-4	0	0.7978177	0.07903977	3
428480	151	152	68	0.1128731	-0.2417293	-0.01744016	0	10.94	4002	11	3	0	0	0.7978177	0.07996535	3
428582	-112	118	-141	-0.1028852	-0.2316892	-0.02154108	0	10.94	4004	35	-10	-3	0	0.7978177	0.09124185	3
428698	73	-37	72	0.04727782	-0.04283915	-0.00852033	0	11.17	4002	-11	5	0	0	0.7978177	0.1020418	3
428869	25	64	14	-0.06778833	-0.1198869	-0.01350818	0	11.17	4003	-26	9	-1	0	0.7978177	0.109063	3
428924	-74	50	-21	-0.08149397	-0.007235294	-0.02378384	0	11.17	4003	24	4	-6	0	0.7978177	0.1099587	3
429013	220	15	-2	-0.07283022	-0.1529275	0.002990407	0	11.17	4003	-7	-20	-1	0	0.7978177	0.1131496	3
429133	-23	74	-304	-0.08983497	-0.207329	0.0400464	0	11.17	4004	-10	-12	0	0	0.7978177	0.117341	3
429170	-131	34	90	-0.2315442	-0.02748117	0.01693702	0	11.17	4003	4	0	-5	0	0.7978177	0.1192525	3
429314	91	0	178	-0.2146973	0.04611877	0.01955341	0	11.17	4003	21	21	-2	0	0.7978177	0.1216782	3
429407	83	12	-35	-0.208455	0.07327003	0.04064923	0	11.17	4003	-7	-13	-2	0	0.7978177	0.1307443	3
429476	46	7	-96	-0.2096643	-0.1216568	0.0507885	0	11.17	4004	-3	-14	-1	0	0.7978177	0.1421473	3
429602	-115	97	-149	-0.2144123	-0.02535204	0.04526638	0	11.17	4002	-9	3	-1	0	0.7978177	0.1532571	3
429688	41	110	-60	-0.1762029	-0.06160807	0.02942544	0	11.17	4003	13	-5	0	-1	0.6558123	0.1564177	4
429827	107	-211	129	-0.2017591	-0.05040598	0.00343393	0	11.17	4003	22	31	-2	0	0.4476182	0.1637833	4
429940	-48	129	136	-0.1062437	0.0739635	0.01396693	0	11.17	4003	28	-9	0	0	0.3399778	0.1712381	4
430042	56	-95	-154	-0.1040583	0.008963238	0.0194002	0	11.17	4002	-24	-12	0	1	0.2615079	0.174935	4
430179	-52	54	-37	-0.102206	-0.1105917	0.02007087	0	11.17	4004	-20	-13	-3	2	0.1750657	0.1868249	4
430222	198	134	-324	-0.03365087	-0.001743979	0.034196	0	11.17	4003	-39	17	-3	3	0.1513832	0.1940541	4
430287	-130	-266	184	-0.01424863	0.1097731	0.04683667	0	11.17	4003	7	12	-4	3	0.141287	0.1951474	4
430383	11	161	-372	0.5277634	0.05717339	0.03699091	0	11.17	4004	-16	0	-6	4	0.1044552	0.1941176	4
430485	209	-116	304	0.3854683	0.1331419	0.01694335	0	11.17	4002	-24	-6	-5	5	0.0891729	0.1945411	4
430641	271	334	212	0.4664379	0.001289037	-0.4083712	0	10.66	4002	-8	-99	8	6	0.07584612	0.2018825	4
430765	-325	107	-258	-0.07216909	-0.5229794	-0.560399	0	10.66	4002	-41	-24	14	7	0.06710242	0.2195073	4
430821	30	208	381	-0.3003825	-2.038799	-0.4660112	0	10.66	4003	15	-44	13	8	0.06393296	0.2283309	4
430916	1386	683	1013	0.1385893	-3.395493	-0.9089721	0	10.66	4004	-71	132	38	9	0.06136569	0.2339686	4
431025	-300	3396	-738	1.685974	-8.144768	-1.8696	0	10.66	4003	86	-170	36	10	0.05983268	0.2446498	4
431083	-1270	3451	-1044	0.5691339	-13.23134	-1.855589	0	10.66	4002	86	-168	23	10	0.06287032	0.2534641	4
431265	-662	-705	477	-1.026834	-13.53269	0.7522204	0	10.66	4003	-50	19	-25	11	0.1188418	0.2966932	4
431298	66	-2206	132	-1.200457	-10.87217	0.9567546	0	10.66	4003	27	35	-19	12	0.1356324	0.3049241	4
431393	-465	-4131	1037	-1.694361	-3.791144	0.2623734	0	10.66	4002	-2	-58	2	12	0.1890974	0.3211324	4
431510	682	-4506	218	-1.401475	1.930143	-0.5899425	0	10.32	4002	16	-121	16	12	0.195465	0.3343407	4
431632	817	472	-312	1.70093	-1.416698	-0.2117323	0	10.32	4003	4	60	0	13	0.2250918	0.3482038	4
431705	304	2043	-555	3.185544	-4.908908	0.04167671	0	10.32	4004	-15	153	0	13	0.2361068	0.3550587	4
431805	-1366	865	-62	2.88775	-10.44287	-0.3959018	0	10.32	4004	135	184	13	13	0.2359226	0.3642682	4
431974	723	-384	-209	2.847994	-10.29441	-0.1746988	0	10.32	4003	-66	10	7	15	0.2135786	0.366781	4
432076	-2829	-1972	-416	0.759747	-8.551852	-0.1869522	0	10.32	4004	14	93	-5	15	0.191021	0.3689453	4
432140	-921	-2731	-910	-0.4464737	-6.997392	0.01099242	0	10.32	4003	-31	-208	5	16	0.1882415	0.37478	4
432270	-145	1513	-681	2.969283	-8.89363	0.06568164	0	10.32	4002	13	-117	-11	16	0.2294712	0.3743142	4
432372	-120	-775	-29	2.220178	-7.795568	-0.01874715	0	10.32	4004	66	34	3	17	0.2525224	0.3706802	4
432440	222	-1611	-176	1.884394	-6.979443	-0.3557348	0	11.06	4003	-44	-158	3	17	0.2734279	0.3615796	4
432615	634	-993	-160	0.5923026	-7.382997	-0.3806393	0	11.06	4003	-15	-183	0	17	0.2724646	0.3361028	4
432683	-330	636	-655	1.135916	-6.27082	-0.2599482	0	11.06	4003	18	47	15	18	0.2567354	0.3227931	4
432747	-846	566	257	0.4628579	-6.800648	-0.2493239	0	11.06	4002	-90	-30	12	18	0.2362772	0.3103014	4
432816	2469	7489	5155	0.7644103	-10.27111	-1.749926	0	11.06	4003	-14	79	42	19	0.2127603	0.2986851	4
432926	-4353	6008	-407	2.807693	-33.05521	-9.001316	0	11.06	4004	133	111	220	20	0.1916113	0.2771587	4
433050	1583	-4082	-2684	-2.656579	-23.40499	-7.509672	0	11.06	4002	-66	43	161	21	0.1632947	0.2663469	4
433160	1117	-6491	-2612	0.2739823	-3.75325	-1.338575	0	11.06	4003	18	-151	13	21	0.1808194	0.2662327	4
433251	533	-4628	-1320	1.075616	0.222622	1.138022	0	11.06	4003	-34	174	-55	22	0.2007003	0.2621438	4
433379	768	304	469	1.187855	-2.13912	0.9325792	0	10.94	4004	-59	-22	-13	22	0.23613	0.2445079	4
433412	1272	-894	1584	1.272189	-2.771102	0.2593071	0	10.94	4004	-13	-40	22	22	0.2437643	0.2437745	4
433506	2463	-4077	-161	2.012849	0.8758955	-1.003193	0	10.94	4002	-81	-145	22	23	0.2596213	0.2442443	4
433624	1465	206	250	4.671976	0.3204292	-0.9156271	0	10.94	4003	-102	-27	22	23	0.2780714	0.2491621	4
