time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode
611549	-37	-32	8	-0.6600575	-2.642819	4.071033	0	9.41	4002	0	0	0	0	0.09638699	-0.2319658	1
611654	-40	-37	3	-0.6644147	-2.658381	4.058561	0	9.41	4004	0	0	0	0	0.09638562	-0.2201194	1
611765	-34	-31	10	-0.6808326	-2.660193	4.041445	0	9.41	4003	0	0	0	0	0.09638491	-0.2137947	1
611862	-28	-36	7	-0.6847092	-2.663164	4.031418	0	9.53	4004	0	0	0	0	0.09638439	-0.2168347	1
611964	-35	-27	3	-0.685945	-2.651165	4.018335	0	9.53	4002	0	0	0	0	0.09638401	-0.2203417	1
612068	-31	-28	6	-0.6613793	-2.65775	4.005251	0	9.53	4004	0	0	0	0	0.09638374	-0.2211122	1
612172	-33	-32	5	-0.6667333	-2.674016	3.993819	0	9.53	4004	0	0	0	0	0.09638353	-0.2222861	1
612277	-28	-30	10	-0.6726421	-2.69668	3.982693	0	9.53	4004	0	0	0	0	0.09638339	-0.218824	1
612381	-39	-27	9	-0.6773371	-2.698537	3.975234	0	9.53	4003	0	0	0	0	0.09638329	-0.2123399	1
612485	-22	-27	12	-0.6741712	-2.661599	3.959584	0	9.53	4004	0	0	0	0	0.09638321	-0.208836	1
612598	-42	-36	6	-0.6660843	-2.684324	3.948395	0	9.53	4003	0	0	0	0	0.09638315	-0.2083563	1
612682	-34	-33	2	-0.6818665	-2.735677	3.940203	0	9.53	4004	0	0	0	0	0.09638311	-0.2103084	1
612783	-32	-35	7	-0.6589414	-2.686815	3.928588	0	9.53	4003	0	0	0	0	0.09638308	-0.220393	1
612899	-37	-31	6	-0.6683863	-2.700554	3.911653	0	9.47	4002	0	0	0	0	0.09638306	-0.2299524	1
612992	-23	-34	8	-0.6422288	-2.742622	3.901505	0	9.47	4003	0	0	0	0	0.09638304	-0.2389715	1
613100	-30	-28	4	-0.6527204	-2.705275	3.888973	0	9.47	4002	0	0	0	0	0.09638304	-0.2434193	1
613239	-37	-32	7	-0.6539774	-2.689156	3.869654	0	9.47	4002	0	0	0	0	0.09638304	-0.2514069	1
613310	-31	-30	7	-0.6520649	-2.699515	3.860544	0	9.47	4004	0	0	0	0	0.09638304	-0.2506699	1
613402	-32	-29	6	-0.6440933	-2.681507	3.847767	0	9.47	4002	0	0	0	0	0.09638304	-0.2511888	1
613569	-37	-36	9	-0.688675	-2.723312	3.826918	0	9.47	4002	0	0	0	0	0.09638304	-0.2524332	1
613610	-41	-26	8	-0.6982604	-2.732547	3.823127	0	9.47	4003	0	0	0	0	0.09638304	-0.2516454	1
613712	-34	-33	7	-0.6760232	-2.715208	3.812674	0	9.47	4003	0	0	0	0	0.09638304	-0.2492073	1
613837	-33	-40	9	-0.6762127	-2.70335	3.799468	0	9.53	4003	0	0	0	0	0.09638304	-0.2446352	1
613907	-29	-27	6	-0.6778668	-2.679623	3.791215	0	9.53	4003	0	0	0	0	0.09638304	-0.2407402	1
614010	-39	-34	13	-0.6426905	-2.673682	3.777887	0	9.53	4003	0	0	0	0	0.09638304	-0.2347334	1
614141	-34	-33	13	-0.69025	-2.659276	3.757224	0	9.53	4003	0	0	0	0	0.09638304	-0.2249019	1
614204	-22	-28	10	-0.6653336	-2.638474	3.752761	0	9.53	4003	0	0	0	0	0.09638304	-0.217979	1
614312	-39	-21	5	-0.6736476	-2.675174	3.732952	0	9.53	4002	0	0	0	0	0.09638304	-0.2179726	1
614412	-38	-35	6	-0.6395161	-2.678163	3.728978	0	9.53	4002	0	0	0	0	0.09638304	-0.2143642	1
614514	-30	-25	4	-0.6512712	-2.630708	3.715039	0	9.53	4003	0	0	0	0	0.09638304	-0.2047147	1
614614	-27	-28	5	-0.6262137	-2.645839	3.703912	0	9.53	4003	0	0	0	0	0.09638304	-0.1917917	1
614775	-36	-24	7	-0.6478968	-2.695936	3.682944	0	9.53	4002	0	0	0	0	0.09638304	-0.1750308	1
614861	-32	-29	6	-0.6635187	-2.687829	3.675547	0	9.53	4004	0	0	0	0	0.09638304	-0.1710013	1
614923	-29	-34	6	-0.6464341	-2.685042	3.667721	0	9.53	4004	0	0	0	0	0.09638304	-0.1694359	1
615021	-38	-32	4	-0.6360424	-2.699628	3.656228	0	9.53	4002	0	0	0	0	0.09638304	-0.1698844	1
615138	-37	-24	2	-0.6513942	-2.690284	3.643817	0	9.53	4002	0	0	0	0	0.09638304	-0.1774262	1
615228	-30	-36	12	-0.6979513	-2.723896	3.63153	0	9.53	4004	0	0	0	0	0.09638304	-0.1821232	1
615331	-28	-30	3	-0.6401839	-2.731068	3.619242	0	9.53	4004	0	0	0	0	0.09638304	-0.1905159	1
615429	-26	-32	7	-0.654133	-2.714449	3.610378	0	9.53	4004	0	0	0	0	0.09638304	-0.2032278	1
615535	-33	-29	7	-0.6554311	-2.682928	3.59809	0	9.53	4002	0	0	0	0	0.09638304	-0.219061	1
615675	-32	-34	7	-0.6450686	-2.650334	3.583724	0	9.53	4004	0	0	0	0	0.09638304	-0.2424493	1
615748	-27	-23	5	-0.6521652	-2.648384	3.577977	0	9.53	4003	0	0	0	0	0.09638304	-0.2501194	1
615862	-34	-30	12	-0.7295319	-2.716386	3.560247	0	9.53	4003	0	0	0	0	0.09638304	-0.2598118	1
615954	-45	-29	8	-0.6574725	-2.65903	3.55291	0	9.53	4002	0	0	0	0	0.09638304	-0.2675302	1
616049	-26	-35	4	-0.6610137	-2.670978	3.541233	0	9.53	4003	0	0	0	0	0.09638304	-0.2686357	1
616197	-34	-29	7	-0.649108	-2.711687	3.529312	0	9.53	4003	0	0	0	0	0.09638304	-0.2711374	1
616267	-26	-31	7	-0.5990946	-2.723621	3.52173	0	9.53	4002	0	0	0	0	0.09638304	-0.2663735	1
616340	-31	-26	8	-0.5810264	-2.691092	3.512622	0	9.53	4003	0	0	0	0	0.09638304	-0.2582251	1
616515	-29	-32	9	-0.618489	-2.672882	3.493058	0	9.53	4009	0	0	0	0	0.09638304	-0.2354163	1
616575	-28	-30	4	-0.6194687	-2.637745	3.487983	0	9.53	4003	0	0	0	0	0.09638304	-0.2272952	1
616693	-30	-25	5	-0.6052032	-2.651079	3.475145	0	9.53	4003	0	0	0	0	0.09638304	-0.2129796	1
616800	-29	-34	4	-0.5742942	-2.645184	3.466218	0	9.53	4003	0	0	0	0	0.09638304	-0.2027032	1
616885	-27	-23	6	-0.5825064	-2.650683	3.459372	0	9.53	4004	0	0	0	0	0.09638304	-0.1927968	1
