time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode
123379	623	598	1239	2.125957	-5.877635	0.1360343	0	11.68	4003	102	-89	-7	-11	0.5028006	0.2156402	4
123431	-46	1158	881	2.703772	-9.027453	-0.03161527	0	11.68	4002	3	-41	8	-12	0.5199268	0.2066247	4
123534	606	-988	116	2.368959	-6.119792	-0.1466751	0	11.68	4003	-69	44	5	-12	0.5272373	0.2012279	4
123656	-503	-871	-507	2.148306	-6.616053	0.02802428	0	11.68	4002	4	-87	-5	-12	0.5320387	0.1910857	4
123776	1018	-638	-307	2.072804	-5.98541	0.210568	0	11.68	4002	-29	-53	-17	-11	0.5036463	0.1843632	4
123841	2103	906	284	2.073337	-5.819532	0.2435073	0	11.68	4003	14	44	-8	-12	0.5218191	0.1845656	4
123963	43	-1090	-210	0.2708661	-8.310934	0.5870717	0	11.68	4003	40	50	-10	-12	0.5397578	0.1895645	4
124048	154	-318	633	0.2452261	-6.388207	-0.1568015	0	11.68	4004	20	-126	15	-12	0.5458422	0.1878267	4
124273	-555	2607	-494	0.8330452	-12.56494	0.1553362	0	11.46	4003	-13	17	-1	-13	0.5943968	0.2157039	4
124419	-21	920	632	1.814895	-8.903433	0.3079881	0	11.46	4002	-104	-58	-9	-14	0.6029865	0.2363015	4
124480	-634	1672	1021	1.453571	-8.493629	-0.03770038	0	11.46	4002	3	70	16	-14	0.6168691	0.2395258	4
124623	159	-431	89	-1.103793	-6.244141	-0.2616304	0	11.46	4004	-57	40	9	0	0.5634977	0.2470953	3
124664	-172	-1152	-383	0.5101513	-6.771886	0.2624158	0	11.46	4003	51	28	-4	0	0.5647719	0.2483535	3
124759	-961	-1498	116	-0.07735008	-6.976297	0.2925543	0	11.46	4004	24	-76	-4	0	0.5678797	0.2543208	3
124887	1544	-1514	1301	0.1076482	-3.122326	-0.3446462	0	11.46	4004	-38	17	24	0	0.5701454	0.2619182	3
125001	-891	-2381	-479	-0.4154257	-2.681759	-0.5267808	0	11.46	4003	54	-83	0	0	0.5722413	0.2771627	3
