time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode
580832	-16	-13	-1	-0.2270982	-0.2413788	-10.98047	0	10.72	4002	0	0	0	0	0.6136267	0.02884287	1
580928	5	-9	3	-0.2024566	-0.2496726	-10.98346	0	10.72	4004	0	0	0	0	0.6136267	0.0473194	1
581075	-7	-1	-1	-0.1992788	-0.2456746	-10.98749	0	10.72	4003	0	0	0	0	0.6136267	0.06617065	1
581138	-4	-12	0	-0.2140739	-0.2415082	-10.98926	0	10.72	4004	0	0	0	0	0.6136267	0.07473484	1
581202	-16	-9	2	-0.2070585	-0.2464085	-10.99103	0	10.72	4003	0	0	0	0	0.6136267	0.08165265	1
581308	-20	-7	2	-0.2013039	-0.2589414	-10.99421	0	10.72	4004	0	0	0	0	0.6136267	0.07539233	1
581452	-4	-11	-3	-0.2092858	-0.2737565	-10.99885	0	10.72	4003	0	0	0	0	0.6136267	0.07286274	1
581565	-10	-8	-2	-0.2193168	-0.2659661	-10.99861	0	10.72	4002	0	0	0	0	0.6136267	0.06793015	1
581619	-18	-15	-3	-0.2316932	-0.2480388	-10.99977	0	10.77	4002	0	0	0	0	0.6136267	0.06566702	1
581736	-9	-14	-1	-0.2362555	-0.2629054	-10.9994	0	10.77	4004	0	0	0	0	0.6136267	0.05996767	1
581829	-13	-10	1	-0.2283083	-0.2505237	-11.00227	0	10.77	4003	0	0	0	0	0.6136267	0.05101194	1
581921	0	-11	0	-0.2219865	-0.2538544	-11.00276	0	10.77	4004	0	0	0	0	0.6136267	0.04964929	1
582104	-14	-2	2	-0.2060134	-0.2582431	-11.00527	0	10.77	4003	0	0	0	0	0.6136267	0.04945558	1
582174	0	-10	1	-0.2166371	-0.2368647	-11.00777	0	10.77	4003	0	0	0	0	0.6136267	0.04185317	1
582238	-4	-3	8	-0.2014437	-0.2510226	-11.00991	0	10.77	4003	0	0	0	0	0.6136267	0.03067232	1
582353	-11	-14	4	-0.1989789	-0.2589367	-11.01199	0	10.77	4002	0	0	0	0	0.6136267	0.01839559	1
582428	5	-7	4	-0.2259538	-0.2529325	-11.014	0	10.77	4002	0	0	0	0	0.6136267	0.009666111	1
582544	-12	-14	3	-0.1927243	-0.2469417	-11.01583	0	10.72	4003	0	0	0	0	0.6136267	0.002607889	1
582619	-2	-7	0	-0.2065833	-0.2548878	-11.01791	0	10.72	4002	0	0	0	0	0.6136267	-0.002655765	1
582721	-2	-11	-5	-0.205883	-0.2488836	-11.01895	0	10.72	4003	0	0	0	0	0.6136267	-0.01351828	1
582820	-10	-8	0	-0.1833564	-0.2496072	-11.02183	0	10.72	4004	0	0	0	0	0.6136267	-0.03141426	1
582935	-10	-11	2	-0.2099703	-0.2495267	-11.02372	0	10.72	4002	0	0	0	0	0.6136267	-0.04166854	1
583058	-4	-4	-3	-0.208124	-0.2413163	-11.02555	0	10.72	4003	0	0	0	0	0.6136267	-0.03628426	1
583127	-5	0	7	-0.2053923	-0.2479183	-11.02677	0	10.72	4003	0	0	0	0	0.6136267	-0.03256461	1
583233	-23	-1	1	-0.2284363	-0.2428681	-11.02769	0	10.72	4011	0	0	0	0	0.6136267	-0.02763425	1
583387	-14	-1	4	-0.2124136	-0.2378219	-11.03184	0	10.72	4003	0	0	0	0	0.6136267	-0.0214499	1
583433	-14	-6	5	-0.2058597	-0.2419526	-11.03264	0	10.72	4003	0	0	0	0	0.6136267	-0.01919141	1
583547	0	-11	5	-0.2056237	-0.2589179	-11.03508	0	10.89	4004	0	0	0	0	0.6136267	-0.02101893	1
583653	-22	-12	0	-0.1955665	-0.2457677	-11.03685	0	10.89	4002	0	0	0	0	0.6136267	-0.03090396	1
583741	-1	-5	-1	-0.2078228	-0.2567442	-11.03881	0	10.89	4004	0	0	0	0	0.6136267	-0.03777656	1
583864	-6	-11	1	-0.1942127	-0.2869332	-11.03905	0	10.89	4003	0	0	0	0	0.6136267	-0.03973871	1
583974	-5	-4	2	-0.2037535	-0.2967018	-11.04241	0	10.89	4004	0	0	0	0	0.6136267	-0.02498009	1
584107	-11	-9	-3	-0.2013488	-0.2802179	-11.04363	0	10.89	4003	0	0	0	0	0.6136267	-0.0109628	1
584213	-24	-15	4	-0.1896082	-0.2828735	-11.04473	0	10.89	4002	0	0	0	0	0.6136267	-0.002251077	1
584320	-10	-8	2	-0.2134078	-0.2646989	-11.04644	0	10.89	4002	0	0	0	0	0.6136267	-0.009605054	1
584341	-13	-12	1	-0.2240034	-0.2727649	-11.04656	0	10.89	4002	0	0	0	0	0.6136267	-0.009605054	1
584439	-4	-8	4	-0.2059963	-0.2855278	-11.04827	0	10.77	4003	0	0	0	0	0.6136267	-0.01676175	1
584544	-7	-5	0	-0.1997941	-0.2867029	-11.05072	0	10.77	4003	0	0	0	0	0.6136267	-0.02415501	1
584646	3	-5	4	-0.1869211	-0.2830093	-11.0509	0	10.77	4003	0	0	0	0	0.6136267	-0.02688618	1
584774	-10	-8	-3	-0.1800115	-0.2959712	-11.05469	0	10.77	4002	0	0	0	0	0.6136267	-0.03266461	1
584900	-4	-16	2	-0.1904492	-0.2782376	-11.05549	0	10.77	4004	0	0	0	0	0.6136267	-0.02914396	1
584951	-17	0	7	-0.1680195	-0.2751365	-11.05775	0	10.77	4003	0	0	0	0	0.6136267	-0.02819825	1
585111	-4	-4	3	-0.1719293	-0.2816347	-11.06184	0	10.77	4003	0	0	0	0	0.6136267	-0.02244022	1
585153	0	-9	0	-0.1654104	-0.2923322	-11.06263	0	10.77	4003	0	0	0	0	0.6136267	-0.02216489	1
585310	-9	-4	2	-0.190243	-0.3088654	-11.06312	0	10.77	4003	0	0	0	0	0.6136267	-0.01247754	1
585369	1	-4	0	-0.1875487	-0.3002083	-11.06459	0	10.77	4002	0	0	0	0	0.6136267	-0.007267245	1
585510	-15	-2	2	-0.1916242	-0.2895756	-11.06642	0	10.77	4003	0	0	0	0	0.6136267	-0.002010789	1
585610	4	-5	2	-0.1773292	-0.2842844	-11.06801	0	10.77	4002	0	0	0	0	0.6136267	-0.004481672	1
585703	-1	-2	4	-0.1714133	-0.2758812	-11.06978	0	10.77	4003	0	0	0	0	0.6136267	-0.01636704	1
