time(ms)	gyro_x(deg/s)	gyro_y(deg/s)	gyro_z(deg/s)	orientation_roll(deg)	orientation_pitch(deg)	orientation_yaw(deg)	throttle	battery(V)	loop_time(uS)	pid_output_roll	pid_output_pitch	pid_output_yaw	pid_output_throttle	ultrasonic_alt	baro_alt	flight_mode
245174	-13	-15	4	-0.5117177	0.01029142	1.355883	0	11.51	4004	0	0	0	0	0.6537577	0.01155303	1
245265	-10	-2	5	-0.5058224	0.01116902	1.351603	0	11.51	4002	0	0	0	0	0.6537577	0.02451636	1
245364	0	-5	0	-0.5189214	-0.00816254	1.34983	0	11.51	4002	0	0	0	0	0.6537577	0.03662495	1
245473	-16	-7	0	-0.5276667	-0.003067174	1.346223	0	11.51	4003	0	0	0	0	0.6537577	0.04458265	1
245534	-2	-10	1	-0.5209277	-0.0004383377	1.342799	0	11.51	4004	0	0	0	0	0.6537577	0.04909286	1
245638	-12	-1	3	-0.5169565	-0.00880572	1.338703	0	11.51	4004	0	0	0	0	0.6537577	0.04957557	1
245797	-16	-14	4	-0.4911556	0.00413761	1.3332	0	11.51	4004	0	0	0	0	0.6537577	0.05485373	1
245856	-13	-6	1	-0.510624	0.009699173	1.331427	0	11.51	4003	0	0	0	0	0.6537577	0.05861383	1
245949	-5	-4	0	-0.5068179	0.009991754	1.330021	0	11.51	4003	0	0	0	0	0.6537577	0.05874268	1
246107	-5	-14	0	-0.5162088	-0.001678234	1.326352	0	11.51	4003	0	0	0	0	0.6537577	0.04679743	1
246146	-8	-8	1	-0.5128902	0.005166862	1.324946	0	11.51	4003	0	0	0	0	0.6537577	0.0400777	1
246352	-3	-10	-1	-0.5219413	0.01342042	1.322807	0	11.57	4002	0	0	0	0	0.6537577	0.0216466	1
246532	-5	-5	1	-0.5277424	-0.02991394	1.320606	0	11.57	4004	0	0	0	0	0.6537577	0.02799948	1
246616	-13	-7	0	-0.5062402	-0.01584296	1.318649	0	11.57	4003	0	0	0	0	0.6537577	0.02844293	1
246685	-5	-6	0	-0.5091433	-0.03189075	1.314737	0	11.57	4003	0	0	0	0	0.6537577	0.02553164	1
246807	-11	-9	7	-0.4956084	-0.01397193	1.310213	0	11.57	4002	0	0	0	0	0.6537577	0.02344058	1
246872	-14	-3	5	-0.4883366	-0.002640388	1.307339	0	11.57	4003	0	0	0	0	0.6537577	0.02187891	1
246956	-10	-1	-1	-0.5031207	-0.02276582	1.306177	0	11.57	4003	0	0	0	0	0.6537577	0.01995101	1
247063	-3	2	-1	-0.4938599	-0.02569667	1.304832	0	11.57	4004	0	0	0	0	0.6537577	0.0124223	1
247184	-7	-1	6	-0.5154169	-0.001262697	1.301959	0	11.57	4004	0	0	0	0	0.6537577	0.00412098	1
247245	-9	-10	0	-0.5101534	0.01811722	1.299208	0	11.57	4003	0	0	0	0	0.6537577	-0.0009804182	1
247452	0	-1	1	-0.488997	0.02625311	1.296841	0	11.57	4003	0	0	0	0	0.6537577	-0.01280829	1
247565	-1	-6	-2	-0.4870898	-0.003196153	1.293661	0	11.57	4002	0	0	0	0	0.6537577	-0.01416041	1
247652	-1	-6	-2	-0.4870898	-0.003196153	1.293661	0	11.57	4002	0	0	0	0	0.6537577	-0.01416041	1
247847	-8	-4	-1	-0.5165353	-0.0006103748	1.28785	0	11.57	4002	0	0	0	0	0.6537577	-0.03189093	1
247908	3	-10	0	-0.5164918	-0.008085436	1.286504	0	11.57	4003	0	0	0	0	0.6537577	-0.03761842	1
247974	-2	-7	0	-0.508806	-0.021071	1.286932	0	11.57	4004	0	0	0	0	0.6537577	-0.04058284	1
248045	1	0	4	-0.5059791	-0.02083201	1.284609	0	11.57	4003	0	0	0	0	0.6537577	-0.04334723	1
248149	-2	2	0	-0.5132203	-0.01910151	1.283263	0	11.51	4004	0	0	0	0	0.6537577	-0.03777183	1
248265	-14	-4	-1	-0.4981947	-0.01273586	1.282224	0	11.51	4003	0	0	0	0	0.6537577	-0.02736688	1
248472	-8	-6	0	-0.4916098	-0.01065724	1.280207	0	11.51	4004	0	0	0	0	0.6537577	-0.02260537	1
248617	-14	-3	0	-0.5075552	-0.02182286	1.278617	0	11.51	4003	0	0	0	0	0.6537577	-0.02579778	1
248706	9	-3	3	-0.500957	-0.02792905	1.278495	0	11.51	4003	0	0	0	0	0.6537577	-0.02909561	1
248807	3	-5	3	-0.4824817	-0.03127017	1.277272	0	11.51	4002	0	0	0	0	0.6537577	-0.03553632	1
248904	1	2	-3	-0.4892874	-0.03331641	1.277027	0	11.51	4003	0	0	0	0	0.6537577	-0.04425086	1
248964	1	2	-3	-0.4892874	-0.03331641	1.277027	0	11.51	4003	0	0	0	0	0.6537577	-0.04681192	1
249056	1	2	-3	-0.4892874	-0.03331641	1.277027	0	11.57	4003	0	0	0	0	0.6537577	-0.04681192	1
